Study ID	Patient ID	Sample ID	MDM2: mRNA expression z-scores relative to normal samples (log RNA Seq V2 RSEM)
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A0J0	TCGA-AX-A0J0-01	1.7151
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A0J1	TCGA-AX-A0J1-01	1.5897
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1C4	TCGA-AX-A1C4-01	0.3952
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1C5	TCGA-AX-A1C5-01	0.957
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1C7	TCGA-AX-A1C7-01	-2.5799
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1C8	TCGA-AX-A1C8-01	0.031
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1C9	TCGA-AX-A1C9-01	1.2421
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1CA	TCGA-AX-A1CA-01	-0.9298
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1CC	TCGA-AX-A1CC-01	-0.0558
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1CE	TCGA-AX-A1CE-01	2.2048
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1CF	TCGA-AX-A1CF-01	0.682
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1CI	TCGA-AX-A1CI-01	1.0376
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1CJ	TCGA-AX-A1CJ-01	1.2161
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1CK	TCGA-AX-A1CK-01	0.5749
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A1CN	TCGA-AX-A1CN-01	1.853
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2H2	TCGA-AX-A2H2-01	-1.3217
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2H4	TCGA-AX-A2H4-01	-0.6658
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2H5	TCGA-AX-A2H5-01	-0.1548
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2H7	TCGA-AX-A2H7-01	0.9685
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2HA	TCGA-AX-A2HA-01	3.1601
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2HC	TCGA-AX-A2HC-01	1.0272
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2HD	TCGA-AX-A2HD-01	2.4937
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2HG	TCGA-AX-A2HG-01	0.9021
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2HH	TCGA-AX-A2HH-01	-0.4676
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2HJ	TCGA-AX-A2HJ-01	1.4562
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2HK	TCGA-AX-A2HK-01	0.1409
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2IN	TCGA-AX-A2IN-01	0.7668
